"","X2.10","linear","polynomial","radial","sigmoid"
"1",2,82.2734361462485,81.5283313117311,82.7586206896552,79.6222491769191
"2",3,70.8542713567839,69.3987177265639,71.4780800554497,66.7648587766418
"3",4,61.3758447409461,58.2741292670248,61.4971408767978,57.6156645295443
"4",5,53.9941084734015,48.8303586900017,54.3926529197713,49.7140876797782
"5",6,47.3401490209669,42.5922717033443,47.3921330791891,45.4513949055623
"6",7,42.1590712181598,35.8516721538728,42.5056316063074,39.993068792237
"7",8,38.1562987350546,32.6286605440998,38.1389707156472,35.9729682897245
"8",9,34.8639750476521,28.8511523132906,34.8293190088373,33.0791890486917
"9",10,31.8488996707676,26.1653093051464,31.727603534916,28.6085600415872
