key,star,fork,hasdownload,hasissue,haswiki,haspage,openissue,size,testfile,docfile,srcfile,loc,comment,filedepth,filect,dirbranching,dirct
apache--tomcat,1156,932,1,0,0,0,5,4,0,0,,,,0,0,0,0
apache--zeppelin,2138,1075,1,0,0,1,120,34576,0,0,864,130148,20967,4610,1216,1958,742
apache--zookeeper,2187,1619,1,0,0,0,67,21072,0,0,869,140000,40948,1830,1166,1417,251
apereo--cas,1917,1233,1,1,0,1,42,24352,0,0,1983,126376,28049,19557,2492,4971,2479
ApmeM--android-flowlayout,1457,343,1,1,1,0,25,528,0,0,34,2468,39,213,49,85,36
aporter--coursera-android,4206,5929,1,1,1,0,27,36476,0,0,604,18516,1799,8150,1809,3423,1614
aragozin--jvm-tools,1028,144,1,1,1,0,2,3424,0,0,273,25153,6403,897,291,436,145
arimorty--floatingsearchview,1426,292,1,1,1,0,54,7652,0,0,60,5290,891,368,158,220,62
armcha--Space-Navigation-View,1071,160,1,1,1,0,12,8240,0,0,53,1916,583,263,84,133,49
artem-zinnatullin--qualitymatters,1323,164,1,1,1,0,20,6840,0,0,134,5187,252,821,155,268,113
ArthurHub--Android-Image-Cropper,1630,304,1,1,1,1,13,12212,0,0,53,5075,2486,282,86,136,50
Ashok-Varma--BottomNavigation,1248,235,1,1,1,0,24,2456,0,0,40,2792,847,244,107,150,43
asLody--VirtualApp,1341,347,1,1,1,0,23,4568,0,0,638,38380,5671,1930,688,887,199
astuetz--PagerSlidingTabStrip,5545,2700,1,1,0,0,206,4224,0,0,30,1278,95,120,55,85,30
asyl--ArcAnimator,1019,148,1,1,1,0,1,396,0,0,33,1253,55,143,44,71,27
AsyncHttpClient--async-http-client,3214,959,1,1,1,1,35,3776,0,0,356,29585,8755,1159,372,534,162
ata4--disunity,1539,472,1,1,1,0,147,19680,0,0,106,4976,1562,384,152,207,55
Athou--commafeed,1392,259,1,1,1,0,90,2076,0,0,245,22858,756,370,273,332,59
Atmosphere--atmosphere,2723,619,1,1,1,1,98,4152,0,0,437,45337,17883,721,452,556,104
aurelhubert--ahbottomnavigation,1528,262,1,1,1,0,30,2892,0,0,53,3310,669,247,93,137,44
avast--android-butterknife-zelezny,2413,352,1,1,1,0,28,988,0,0,45,2291,386,239,61,102,41
avast--android-styled-dialogs,2031,493,1,1,1,0,9,1236,0,0,66,2937,410,231,85,125,40
aws--aws-sdk-java,1646,1198,0,1,0,0,56,568612,0,0,20310,4619047,1787950,16309,20772,23086,2314
b3log--solo,1615,830,1,1,1,0,5,16328,0,0,560,70553,19678,1565,1979,2179,200
balysv--material-menu,2126,502,1,1,1,0,0,808,0,0,27,2094,216,162,39,70,31
balysv--material-ripple,1608,375,1,1,1,0,28,2460,0,0,30,1477,85,150,41,70,29
baoyachi--StepView,1949,406,1,1,1,0,13,7580,0,0,41,2289,394,331,73,130,57
baoyongzhang--android-PullRefreshLayout,1581,472,1,1,1,0,24,1588,0,0,36,2717,270,223,46,86,40
baoyongzhang--SwipeMenuListView,2511,1164,1,1,1,1,107,1500,0,0,33,1874,286,218,53,92,39
barteksc--AndroidPdfViewer,1138,196,1,1,1,0,57,2880,0,0,47,2891,836,234,57,95,38
bauerca--drag-sort-listview,2957,1618,1,1,1,1,59,1312,0,0,68,5293,1565,104,88,114,26
bazelbuild--bazel,5063,635,1,1,1,1,605,156184,0,0,4940,786915,248777,5538,5762,6542,780
Bearded-Hen--Android-Bootstrap,5554,1276,1,1,1,1,11,4420,0,0,103,17136,983,207,138,172,34
ben-manes--caffeine,1790,127,1,1,1,0,6,13276,0,0,385,48497,14037,1809,432,646,214
beworker--pinned-section-listview,2168,848,1,1,1,0,25,472,0,0,19,1168,141,151,36,66,30
biezhi--blade,1628,353,1,1,1,0,8,3440,0,0,364,35916,22753,665,368,466,98
bigbluebutton--bigbluebutton,1666,3189,0,1,0,0,379,266384,0,2,3563,294719,69712,10588,5629,7160,1531
Bilibili--DanmakuFlameMaster,4000,1213,1,1,1,0,83,1708,0,0,110,11728,1470,679,143,255,112
Bilibili--MagicaSakura,1358,199,1,1,1,0,1,3716,0,0,93,6872,1470,243,123,165,42
bingoogolapple--BGABadgeView-Android,1374,305,1,1,1,0,9,560,0,0,48,2580,520,198,70,103,33
bingoogolapple--BGABanner-Android,1152,338,1,1,1,0,19,3772,0,0,57,2680,360,220,77,113,36
bingoogolapple--BGAQRCode-Android,1030,299,1,1,1,0,24,8380,0,0,47,2957,288,386,90,160,70
bingoogolapple--BGARefreshLayout-Android,2189,677,1,1,1,0,27,1388,0,0,102,7032,1063,257,144,184,40
binIoter--GuideView,1127,231,1,1,1,0,7,1224,0,0,51,2213,371,266,84,131,47
blackfizz--EazeGraph,1107,222,1,1,1,0,31,1004,0,0,65,5066,2135,216,104,142,38
Blankj--AndroidUtilCode,5105,1527,1,1,1,0,9,1292,0,0,109,10343,6568,240,126,167,41
bluejamesbond--TextJustify-Android,1306,314,1,1,1,0,50,3164,0,0,74,5174,2622,210,98,135,37
bluelinelabs--Conductor,1547,101,1,1,1,0,18,1244,0,0,126,8156,800,430,145,218,73
bluelinelabs--LoganSquare,2622,261,1,1,1,0,53,2012,0,0,196,9308,706,438,209,275,66
bmelnychuk--AndroidTreeView,1363,314,1,1,1,0,56,644,0,0,49,3577,411,241,63,101,38
BoltsFramework--Bolts-Android,2901,431,1,1,1,1,12,572,0,0,40,5062,1116,128,49,78,29
bonnyfone--vectalign,1662,116,1,1,1,0,0,280,0,0,22,2819,358,89,27,43,16
brave--browser-android,1009,161,1,1,1,0,254,13568,0,0,258,34261,3661,722,754,859,105
brettwooldridge--HikariCP,3554,520,1,1,1,1,26,776,0,0,72,10743,2673,129,78,99,21
brianfrankcooper--YCSB,1369,914,1,1,1,1,123,3808,0,11,263,22810,8545,2485,314,743,429
Bukkit--Bukkit,1730,1128,1,0,0,0,72,4368,0,0,737,33203,24483,757,739,846,107
bumptech--glide,11496,2417,1,1,1,1,204,8664,0,0,516,40118,7959,1775,554,792,238
byoutline--kickmaterial,1306,209,1,1,1,0,2,29236,0,0,201,13297,851,528,311,395,84
bytedeco--javacpp,1722,208,1,1,1,1,24,1584,0,0,130,16393,4965,132,158,182,24
bytedeco--javacv,1282,497,1,1,1,1,74,1580,0,0,92,19857,4104,95,104,124,20
careercup--CtCI-6th-Edition,1080,664,1,1,1,0,33,80252,0,0,578,22528,1261,764,582,784,202
careercup--ctci,2771,1710,1,1,1,0,59,6100,0,0,846,44198,4630,2082,909,1424,515
castorflex--SmoothProgressBar,3380,975,1,1,1,0,17,7124,0,0,49,3122,129,218,59,100,41
CellularPrivacy--Android-IMSI-Catcher-Detector,2308,463,1,1,1,1,138,2968,0,0,189,21446,3111,493,369,443,74
ChadCSong--ShineButton,1880,261,1,1,1,0,7,2372,0,0,29,1528,69,265,49,97,48
chanjarster--weixin-java-tools,1691,1263,1,1,1,0,78,2984,0,0,257,14944,3799,684,267,352,85
checkstyle--checkstyle,1421,647,1,1,1,0,291,16436,0,0,1529,145250,50415,2470,1836,2108,272
chentao0707--SimplifyReader,2959,1241,1,1,1,1,31,48824,0,0,474,40569,19544,1159,777,941,164
chenupt--DragTopLayout,1203,300,1,1,1,0,29,9120,0,0,42,1829,330,240,66,108,42
chenupt--SpringIndicator,1666,443,1,1,1,0,17,6524,0,0,35,1190,197,234,57,99,42
chewiebug--GCViewer,1470,387,1,1,1,0,37,8412,0,0,158,15922,3097,299,280,325,45
chrisbanes--ActionBar-PullToRefresh,3267,1111,1,0,1,0,68,1452,0,0,131,4809,2394,852,171,299,128
chrisbanes--Android-PullToRefresh,7630,5038,1,0,1,1,30,2284,0,0,92,4549,1631,335,127,201,74
chrisbanes--cheesesquare,6026,1539,1,0,0,0,15,1640,0,0,25,1050,297,146,70,97,27
chrisbanes--philm,1874,467,1,1,1,0,10,8444,0,0,304,19186,5181,442,418,486,68
chrisbanes--PhotoView,8011,2600,1,1,0,0,44,652,0,0,51,2618,793,194,65,98,33
chrisjenx--Calligraphy,5002,652,1,1,1,0,63,1124,0,0,39,1877,617,172,59,90,31
ChrisRM--material-theme-jetbrains,3509,188,1,1,1,0,81,16580,0,0,37,8138,84,502,3162,3244,82
cjlin1--libsvm,1652,825,1,1,1,0,54,1996,0,0,45,15650,667,24,63,73,10
Clans--FloatingActionButton,2470,622,1,1,1,0,129,1180,0,0,51,3903,173,283,102,152,50
claritylab--lucida,3983,722,1,1,1,0,37,165540,0,0,373,48881,13051,895,1217,1363,146
Cleveroad--SlidingTutorial-Android,1578,281,1,1,1,0,4,6656,0,0,74,3790,1187,193,110,143,33
clojure--clojure,5789,995,1,0,0,1,4,4144,92,5,305,72814,14707,159,310,348,38
cloudera--oryx,1389,397,1,0,1,0,1,14968,0,0,476,31025,12214,2455,513,843,330
code4craft--webmagic,3305,1948,1,1,1,1,181,13456,0,0,388,73638,5317,1595,453,682,229
Codecademy--EventHub,1183,116,1,1,1,0,1,1608,0,0,131,9487,354,332,149,198,49
codecentric--spring-boot-admin,1137,408,1,1,0,1,12,5600,0,0,325,21970,4156,1680,377,634,257
codeestX--GeekNews,1226,289,1,1,1,0,3,25984,0,0,236,12343,1470,521,295,362,67
code-mc--loadtoast,1139,199,1,1,1,0,10,2064,0,0,26,1535,230,217,58,98,40
code-mc--material-icon-lib,1789,158,1,1,1,0,2,3044,0,0,36,5018,345,215,53,93,40
code-troopers--android-betterpickers,2269,545,1,1,1,0,66,4292,0,0,268,21421,4997,617,415,508,93
Comcast--FreeFlow,2370,424,1,1,1,1,33,2532,0,0,73,4685,1735,465,142,236,94
commonsguy--cwac-camera,1041,301,1,1,1,0,113,2196,0,0,121,14725,4037,421,222,314,92
commonsguy--cw-advandroid,1366,1234,1,0,0,0,2,16416,0,0,475,13669,5611,4923,1134,2074,940
commonsguy--cw-android,1130,864,1,1,1,0,1,11176,0,0,460,12461,6625,4960,1383,2349,966
commonsguy--cw-omnibus,3361,2993,1,0,0,0,0,293160,0,0,3095,114929,30192,70649,12422,22210,9788
crate--crate,1402,158,1,1,0,0,47,21840,0,0,1968,160558,45556,4022,2131,2668,537
crazycodeboy--TakePhoto,1171,274,1,1,1,1,11,3648,0,0,65,4027,783,264,81,127,46
cucumber--cucumber-jvm,1369,1178,1,1,1,0,187,7368,0,3,719,36243,2661,5229,860,1626,766
Curzibn--Luban,3272,614,1,1,1,0,46,500,0,0,29,1296,221,294,43,95,52
Cutta--GifView,1063,185,1,1,1,0,7,10472,0,0,37,1092,96,351,69,127,58
CyberAgent--android-gpuimage,3003,1100,1,1,1,0,228,1032,0,0,116,8433,2071,161,135,168,33
CymChad--BaseRecyclerViewAdapterHelper,4191,901,1,1,1,0,7,12544,0,0,132,5561,1097,376,174,233,59
cymcsg--UltimateAndroid,1846,734,1,1,1,1,13,100244,0,0,3269,259611,69106,10024,5633,6673,1040
cymcsg--UltimateRecyclerView,4457,1064,1,1,1,0,138,6744,0,0,261,18760,5188,723,298,384,86
cyrilmottier--GreenDroid,2648,1026,1,0,0,0,55,13196,0,0,283,153199,6597,343,495,569,74
daCapricorn--ArcMenu,1279,636,1,1,1,0,11,256,0,0,17,949,129,76,36,56,20
daimajia--AndroidImageSlider,3591,1255,1,1,1,0,184,2328,0,0,57,4731,1019,224,80,117,37
daimajia--AndroidSwipeLayout,6746,1984,1,1,1,0,246,640,0,0,61,3745,270,200,78,112,34
daimajia--AndroidViewAnimations,6091,1560,1,1,1,0,42,664,0,0,88,2022,1511,269,100,139,39
daimajia--AndroidViewHover,2380,688,1,1,1,0,13,3888,0,0,26,1435,82,155,49,77,28
daimajia--AnimationEasingFunctions,1592,321,1,1,1,0,5,496,0,0,53,1156,793,224,64,100,36
daimajia--AnimeTaste,1426,501,1,1,1,0,10,8096,0,0,145,8544,670,277,300,351,51
daimajia--NumberProgressBar,3268,1019,1,1,1,0,20,356,0,0,20,965,117,148,33,61,28
dangdangdotcom--elastic-job,1272,806,1,1,1,1,14,9192,0,0,589,26071,10381,4324,654,1115,461
dangdangdotcom--sharding-jdbc,1423,692,1,1,1,1,18,8452,0,0,861,36617,11040,5030,955,1479,524
danielzeller--Depth-LIB-Android-,3237,468,1,1,1,0,8,4572,0,0,88,5038,305,287,134,183,49
danylovolokh--VideoPlayerManager,1545,398,1,1,1,0,31,73436,0,0,101,5437,601,619,121,207,86
databricks--learning-spark,1321,1053,1,1,1,0,12,796,0,0,123,4161,693,212,144,184,40
davemorrissey--subsampling-scale-image-view,2150,381,1,1,1,0,15,5716,0,0,59,4575,1155,207,80,117,37
davideas--FlexibleAdapter,1178,203,1,1,1,0,22,3868,0,0,196,15917,6306,395,532,594,62
deano2390--MaterialShowcaseView,1562,305,1,1,1,0,86,488,0,0,41,1899,211,261,53,97,44
deeplearning4j--deeplearning4j,4444,1493,1,1,1,1,305,46484,0,0,1369,207066,59338,7088,1677,2475,798
dersoncheng--MultipleTheme,1087,248,1,1,1,0,10,1864,0,0,45,1321,123,160,63,91,28
detro--ghostdriver,1553,317,1,1,0,0,138,9716,302,0,324,26135,40444,287,414,471,57
DevLight-Mobile-Agency--InfiniteCycleViewPager,2691,360,1,1,1,0,10,748,0,0,44,4426,661,226,68,108,40
DevLight-Mobile-Agency--NavigationTabBar,2383,410,1,1,1,0,8,660,0,0,37,3837,309,228,58,99,41
DevLight-Mobile-Agency--NavigationTabStrip,1135,159,1,1,1,0,5,496,0,0,20,1358,189,204,34,72,38
dexafree--MaterialList,1427,385,1,1,1,0,53,4316,0,0,57,2881,761,274,78,123,45
Dimezis--BlurView,1440,133,1,1,1,0,3,8744,0,0,34,1353,179,145,50,78,28
dinuscxj--LoadingDrawable,2118,367,1,1,1,0,0,10504,0,0,54,5079,213,332,73,124,51
dinuscxj--RecyclerRefreshLayout,1143,162,1,1,1,0,1,14932,0,0,56,3874,220,247,89,132,43
diogobernardino--WilliamChart,2684,596,1,1,1,1,17,17752,0,0,174,9899,2910,434,206,277,71
Diolor--Swipecards,1459,433,1,1,0,0,95,1140,0,0,27,1239,162,139,36,63,27
dlew--joda-time-android,1681,129,1,1,1,0,4,2480,0,0,101,7347,730,810,201,339,138
dm77--barcodescanner,2223,672,1,1,1,0,116,10156,0,0,75,3844,164,414,110,184,74
dmilicic--Android-Clean-Boilerplate,1162,246,1,1,1,0,2,448,0,0,35,811,164,311,45,90,45
DmitryMalkovich--material-design-dimens,1073,76,1,1,1,0,0,468,0,0,26,920,148,296,39,90,51
dmytrodanylyk--android-process-button,2280,515,1,1,1,0,15,1436,0,0,37,1604,167,159,56,86,30
dmytrodanylyk--circular-progress-button,3587,951,1,0,1,0,29,956,0,0,42,1997,50,139,71,99,28
dodola--HotFix,1183,366,1,1,1,0,10,900,0,0,38,930,160,339,63,130,67
dodola--MetaballLoading,1192,259,1,1,1,0,1,1340,0,0,18,893,90,123,32,55,23
dodola--RocooFix,1109,239,1,1,1,0,41,4084,0,0,96,4965,1111,807,169,309,140
dongjunkun--DropDownMenu,1488,393,1,1,1,0,18,1876,0,0,39,1057,96,273,59,109,50
donglua--PhotoPicker,1296,404,1,1,1,0,26,836,0,0,69,3626,565,277,125,172,47
drakeet--MaterialDialog,1661,460,1,1,1,0,26,3480,0,0,31,1364,94,153,54,84,30
drakeet--Meizhi,2733,891,1,1,1,0,3,6216,0,0,141,6533,2313,438,174,243,69
dreamhead--moco,1471,396,1,1,1,0,46,2928,0,0,474,23567,73,780,505,606,101
DreaminginCodeZH--Douya,2230,628,1,1,1,0,10,22740,0,0,467,30020,3683,935,522,639,117
DroidPluginTeam--DroidPlugin,4014,1813,1,1,1,1,112,2912,0,0,242,27401,6676,416,272,340,68
dropbox--hackpad,2848,389,1,1,1,0,36,74148,0,0,1207,332594,60443,1118,2387,2575,188
dropwizard--dropwizard,5109,2254,1,1,1,1,70,8448,0,0,889,48990,7393,3705,994,1591,597
dropwizard--metrics,4392,1167,1,1,0,1,155,3628,0,0,306,22758,4602,1672,338,620,282
druid-io--druid,3893,927,1,1,1,0,561,39616,0,0,2799,356569,64561,7964,3031,4109,1078
eclipse--che,3291,544,1,1,1,0,354,95284,0,0,8335,734865,268719,61538,8995,15104,6109
eclipse--jetty.project,1068,734,1,1,0,0,276,60804,0,0,3148,492773,107705,14863,4286,6335,2049
eclipse--vert.x,5354,1019,1,1,1,1,126,7376,0,0,692,89290,33457,938,826,957,131
edmodo--cropper,2196,804,1,1,1,0,87,7352,0,0,30,1671,693,117,53,80,27
eirslett--frontend-maven-plugin,1380,359,1,1,1,0,94,608,0,0,86,3714,223,264,92,132,40
eishay--jvm-serializers,1542,310,0,1,1,1,6,78308,0,0,198,25997,1723,405,321,406,85
elastic--elasticsearch,19119,6537,1,1,0,0,1160,96244,313,0,5792,659706,172789,17326,7234,9344,2110
elevenetc--TextSurface,1567,189,1,1,1,0,7,2424,0,0,66,2950,240,385,81,142,61
eluleci--FlatUI,1463,468,1,1,1,0,17,2424,0,0,33,2715,231,165,56,86,30
elye--loaderviewlibrary,1189,148,1,1,1,0,1,468,0,0,28,855,118,265,41,89,48
emilsjolander--StickyListHeaders,4365,1445,1,1,1,0,129,1320,0,0,39,3247,330,101,57,82,25
EnterpriseQualityCoding--FizzBuzzEnterpriseEdition,6120,334,1,1,1,0,162,632,0,0,97,1764,25,402,99,143,44
eoecn--android-app,1163,1337,1,1,1,0,34,4592,0,0,249,15006,3187,236,359,403,44
eoinfogarty--Onboarding,1309,118,1,1,1,0,1,11700,0,0,42,1356,101,191,71,106,35
Ereza--CustomActivityOnCrash,1533,294,1,1,1,0,4,556,0,0,30,1282,785,217,48,87,39
etsy--AndroidStaggeredGrid,4398,1204,1,1,1,0,104,556,0,0,40,4175,895,179,47,79,32
