key,star,fork,hasdownload,hasissue,haswiki,haspage,openissue,size,testfile,docfile,srcfile,loc,comment,filedepth,filect,dirbranching,dirct
twilio--twilio-python,739,292,1,1,1,0,23,2108,0,0,255,10718,3260,144,311,350,39
twisted--twisted,1551,495,1,0,0,0,35,4,0,0,,,,0,0,0,0
twoscoops--django-twoscoops-project,803,372,1,1,1,0,12,456,0,0,19,584,339,31,35,45,10
tyarkoni--transitions,760,113,1,1,1,0,6,1360,0,0,20,3288,347,9,28,32,4
Uberi--speech_recognition,1326,384,1,1,1,0,29,79820,0,0,12,1029,254,22,49,57,8
ujjwalkarn--DataSciencePython,2125,425,1,1,1,0,0,104,0,0,10,613,249,6,13,16,3
Urinx--WeixinBot,1557,574,1,1,1,0,74,912,0,0,4,1688,39,2,14,15,1
urwid--urwid,798,126,1,1,1,1,84,2088,0,0,92,18214,7719,40,220,234,14
USArmyResearchLab--Dshell,4779,1114,1,1,1,0,28,656,0,2,63,7153,1835,64,66,89,23
utahta--pythonbrew,1414,198,1,1,1,0,65,532,0,0,68,3279,1353,79,89,108,19
Valloric--YouCompleteMe,12180,1416,1,1,1,1,62,1292,0,2,67,10703,2119,74,82,104,22
Veil-Framework--Veil-Evasion,883,398,1,1,1,0,5,204024,0,0,150,27260,6251,249,308,367,59
VerbalExpressions--PythonVerbalExpressions,868,66,1,1,1,0,6,36,0,0,5,273,6,4,6,8,2
vfaronov--httpolice,824,11,1,1,0,0,0,3760,570,11,100,11120,1438,82,657,682,25
viewfinderco--viewfinder,1688,547,1,1,1,0,4,206732,0,0,1339,256669,57233,1785,3577,3871,294
VikParuchuri--apartment-finder,736,166,1,1,1,0,8,64,0,0,7,315,88,2,12,13,1
vim-awesome--vim-awesome,888,52,1,1,1,0,59,5904,32,0,112,9202,1276,155,167,204,37
vimeo--graph-explorer,1034,89,1,1,1,1,32,2884,0,0,77,19789,2439,51,131,147,16
vinta--awesome-python,25893,4972,1,1,0,1,331,120,0,0,6,1090,27,2,8,9,1
viper-framework--viper,810,226,1,1,1,0,71,3564,0,0,173,39651,3805,133,241,275,34
vispy--vispy,1160,256,1,1,1,0,258,5652,0,1,533,55300,26470,351,714,806,92
VitaliyRodnenko--geeknote,1694,291,1,1,1,0,199,224,0,0,24,3243,388,4,26,28,2
vmware--photon,1018,275,1,1,1,1,31,53248,0,0,206,20246,1546,1360,981,1423,442
vnpy--vnpy,1739,1037,1,1,1,0,9,251012,0,0,559,194630,86150,796,1296,1500,204
volatilityfoundation--volatility,1202,273,1,1,1,1,32,21340,0,0,414,371606,16035,101,444,473,29
VoLuong--Awesome-Linux-Software,1693,146,1,1,0,0,0,256,0,0,5,1388,36,2,6,7,1
vvk-ehk--evalimine,737,124,1,1,1,0,6,2072,0,0,164,20338,3787,84,215,238,23
waditu--tushare,2120,1143,1,1,1,0,122,6188,13,0,57,6948,3529,38,111,125,14
wal-e--wal-e,1557,189,1,1,0,0,42,740,0,0,103,6739,1988,55,113,129,16
wallproxy--wallproxy,799,349,1,1,1,0,8,1656,0,0,34,3829,687,64,108,123,15
warmheartli--ChatBotCourse,872,250,1,1,1,0,1,7872,0,0,100,15577,2324,186,122,159,37
warner--magic-wormhole,763,42,1,1,1,0,44,772,0,0,62,10821,2210,32,69,79,10
wbond--package_control_channel,977,2898,1,1,1,0,91,912,0,0,35,39848,135,6,37,40,3
wbond--package_control,3236,520,1,1,1,0,78,1544,0,0,145,20709,6914,53,160,176,16
web2py--web2py,1232,637,1,1,1,0,116,19396,0,0,679,130762,26514,603,902,1027,125
webpy--webpy,4105,1056,1,1,0,0,207,712,14,0,43,9447,3807,16,57,64,7
wepe--MachineLearning,807,813,1,1,1,0,4,3824,0,0,43,3544,1270,75,585,611,26
what-studio--profiling,2453,86,1,1,0,0,5,336,12,0,33,3296,641,15,40,46,6
whtsky--WeRoBot,1374,413,1,1,0,0,6,976,0,0,103,5071,2012,58,140,159,19
wireservice--csvkit,2364,340,1,1,0,0,65,40084,0,0,58,4902,436,37,156,169,13
wooey--Wooey,733,62,1,1,1,0,34,1124,0,0,132,6726,747,171,182,225,43
worldveil--dejavu,2650,485,1,1,1,0,22,28144,0,0,16,1309,468,6,32,35,3
wrobstory--vincent,1931,206,1,1,1,0,35,7836,0,169,69,22237,3881,133,191,218,27
wting--autojump,4735,295,1,1,1,0,85,312,0,0,28,3189,681,14,37,43,6
wummel--linkchecker,770,150,1,1,1,1,150,3824,0,29,329,31973,13614,135,430,471,41
wuub--SublimeREPL,1750,262,1,1,1,0,230,872,0,8,33,3168,703,121,128,170,42
xchaoinfo--fuck-login,920,507,1,1,1,0,13,152,0,0,17,1512,199,26,17,30,13
xhtml2pdf--xhtml2pdf,1160,419,1,1,1,0,40,15768,82,11,137,17545,2812,117,249,282,33
xiaoxu193--PyTeaser,854,124,1,1,0,1,7,272,0,0,23,1947,786,22,38,45,7
xonsh--xonsh,1759,190,1,1,1,0,250,5132,0,0,291,40265,8848,223,513,567,54
XX-net--XX-Net,10540,3760,1,1,1,0,2975,45688,0,0,1022,351712,79061,1630,1270,1467,197
yadayada--acd_cli,1033,130,1,1,0,0,99,536,0,0,37,4779,753,29,61,72,11
yahoo--open_nsfw,2736,434,1,1,1,0,6,23348,0,0,3,135,38,2,5,6,1
yandex--yandex-tank,953,101,1,1,1,1,24,1688,0,0,101,11547,1068,181,161,208,47
yask123--Instant-Music-Downloader,1075,110,1,1,1,1,29,88,0,0,6,405,61,11,15,19,4
