key,star,fork,hasdownload,hasissue,haswiki,haspage,openissue,size,testfile,docfile,srcfile,loc,comment,filedepth,filect,dirbranching,dirct
bastianallgeier--kirbycms,861,148,1,0,0,0,0,628,0,0,30,7960,4140,65,45,67,22
bcit-ci--CodeIgniter4,508,174,1,1,0,1,37,3768,0,0,271,26007,18397,440,402,513,111
bcit-ci--CodeIgniter,13273,6545,1,1,1,0,78,5140,0,0,252,32357,30435,318,487,564,77
bcosca--fatfree,1936,400,1,1,1,0,40,664,0,0,43,9781,3591,35,49,60,11
BeatSwitch--lock,912,66,1,1,0,0,23,220,0,0,34,1597,993,34,34,46,12
beberlei--assert,938,106,1,1,0,0,19,152,0,0,9,1306,1309,5,9,11,2
beberlei--DoctrineExtensions,686,236,1,1,1,0,11,732,0,0,154,4256,617,56,157,174,17
beberlei--litecqrs-php,427,43,1,1,0,0,15,456,0,0,66,2766,406,114,69,95,26
Bee-Lab--bowerphp,452,39,1,1,0,0,22,220,0,0,31,1916,1084,44,32,44,12
Behat--Behat,1961,420,1,1,0,0,5,2848,0,0,457,17944,17095,1043,458,632,174
benbalter--wordpress-to-jekyll-exporter,683,86,1,1,0,0,17,18256,0,0,2064,169736,96991,3107,2294,2795,501
benedmunds--CodeIgniter-Ion-Auth,1693,818,1,1,1,0,34,528,0,0,47,3972,1310,105,52,89,37
BenExile--Dropbox,553,153,1,1,1,0,14,456,0,0,32,1180,831,20,34,41,7
benkeen--generatedata,1028,376,1,1,0,1,88,13160,0,0,1145,148166,49180,1586,1271,1569,298
bernardphp--bernard,605,60,1,1,0,0,48,344,0,0,63,2298,1239,46,64,80,16
bestmomo--laravel5-example,876,443,1,1,1,0,10,7228,0,0,514,22756,4938,562,603,729,126
bixuehujin--blink,479,68,1,1,1,0,3,548,0,0,97,4963,1617,65,98,120,22
bjankord--Style-Guide-Boilerplate,1636,401,1,1,1,1,1,392,0,29,40,2837,194,27,68,79,11
bobthecow--mustache.php,2400,369,0,1,1,0,17,1068,182,0,139,5957,3023,261,172,229,57
bobthecow--psysh,1574,130,1,1,0,1,62,1064,82,0,165,9243,5408,172,175,215,40
bobthecow--Ruler,706,90,1,1,0,0,11,584,0,0,113,5077,2136,42,115,126,11
bolt--bolt,2994,686,1,1,1,0,144,24416,0,0,1716,112360,31403,1953,2143,2509,366
booksbyus--zguide,1939,1011,1,1,0,0,66,16492,0,0,1276,70041,18599,216,1839,1905,66
BootstrapCMS--CMS,1891,631,1,1,0,0,6,3664,0,0,207,5316,4882,201,234,293,59
borisrepl--boris,2127,117,1,1,1,0,22,148,0,0,25,1204,399,16,26,32,6
bosnadev--repository,425,102,1,1,1,0,32,148,0,0,15,842,651,61,18,33,15
box-project--box2,934,59,1,1,1,1,26,220,0,0,21,1923,563,104,23,41,18
box--spout,769,116,1,1,1,0,10,780,0,0,101,5700,4786,157,102,133,31
BrainBoxLabs--brain-socket,578,89,1,1,1,0,24,72,0,0,14,329,79,7,14,17,3
braincrafted--bootstrap-bundle,402,189,1,1,1,1,35,532,0,0,58,4026,1371,145,70,110,40
brandonsavage--Upload,1243,218,1,1,1,0,27,192,0,0,23,1033,816,24,29,37,8
brandonwamboldt--utilphp,980,125,1,1,1,1,8,216,0,0,9,2788,913,7,10,13,3
briancray--PHP-URL-Shortener,436,159,1,1,1,0,14,36,0,0,6,154,32,0,8,8,0
brianhaveri--Underscore.php,1111,158,1,1,0,1,31,148,9,0,11,2036,298,2,11,12,1
brianium--paratest,399,96,1,1,1,0,30,1936,157,0,142,6788,2163,232,157,210,53
brianlmoon--GearmanManager,623,174,1,1,1,0,27,176,0,0,17,1278,446,24,20,29,9
briannesbitt--Carbon,4884,608,1,1,1,1,102,352,0,0,59,2825,2350,13,60,64,4
brunogaspar--laravel-starter-kit,565,226,1,0,0,0,7,1396,0,0,114,11703,2491,225,144,199,55
bshaffer--oauth2-demo-php,505,220,1,1,1,0,20,288,0,0,42,1934,134,56,47,64,17
bshaffer--oauth2-server-php,1968,630,1,1,1,0,161,944,67,0,117,10144,2212,134,120,153,33
bueltge--WordPress-Admin-Style,534,73,1,1,0,0,3,3888,0,0,44,4143,932,25,59,69,10
CachetHQ--Cachet,5247,619,1,1,0,0,72,6472,0,0,564,34659,11984,643,632,786,154
caffeinated--modules,380,101,1,1,1,0,24,372,0,0,43,1645,1268,131,62,94,32
cakephp--cakephp,6763,3056,1,1,1,1,169,5652,0,0,553,53980,52221,333,590,680,90
cakephp--debug_kit,859,583,1,1,1,0,17,784,0,0,48,3002,1697,159,77,121,44
caouecs--Laravel-lang,1577,695,1,1,1,1,2,1404,0,0,212,6370,3257,166,224,280,56
cartalyst--sentinel,808,99,1,1,1,0,13,440,0,0,67,3296,3588,57,68,87,19
cartalyst--sentry,1647,363,1,0,0,0,3,632,0,0,80,6038,5464,150,82,114,32
cashmusic--platform,507,182,1,1,1,1,76,48204,0,0,6191,434275,169270,4618,6610,7256,646
catfan--Medoo,2185,658,1,1,1,0,208,84,0,0,3,974,20,2,5,6,1
ccampbell--chromephp,1048,320,1,1,1,0,26,24,0,0,3,232,194,0,3,3,0
ccoenraets--backbone-directory,1613,551,1,1,1,0,11,3696,0,0,71,8908,2983,119,215,253,38
certificationy--certificationy,378,64,1,1,0,0,8,88,0,0,14,542,356,7,17,20,3
Chassis--Chassis,396,63,1,1,1,0,28,29348,0,0,1324,308298,131731,916,1648,1818,170
chrisbjr--api-guard,472,111,1,1,1,0,24,184,0,0,20,861,389,53,21,38,17
chrisboulton--php-diff,461,130,1,1,1,0,26,144,0,0,15,1215,676,35,17,27,10
chrisboulton--php-resque,2460,574,1,1,1,0,68,332,14,0,43,3103,945,31,49,60,11
chriskacerguis--codeigniter-restserver,3178,1659,1,1,0,0,9,1240,0,0,52,12652,1846,90,81,106,25
Chumper--Datatable,397,160,1,1,1,1,109,272,0,0,25,2553,670,38,28,39,11
ci-bonfire--Bonfire,1352,546,1,1,1,0,101,15240,0,0,1069,156722,75277,2030,1327,1730,403
Cilex--Cilex,512,74,1,1,1,0,9,140,0,0,15,538,265,39,21,33,12
Circa75--dropplets,1587,238,1,1,1,0,4,8756,0,0,147,14611,4378,136,210,248,38
citelao--Spotify-for-Alfred,450,11,1,1,1,1,7,30152,0,2,82,11674,819,150,172,211,39
claviska--SimpleImage,637,235,1,1,1,0,10,548,0,0,7,1062,576,7,12,15,3
clevertech--YiiBoilerplate,401,186,1,1,1,0,5,3416,0,0,145,11017,2224,498,183,301,118
clickalicious--phpMemAdmin,420,46,1,1,1,0,9,6580,0,0,12,2271,2005,56,54,72,18
clue--graph-composer,452,27,1,1,1,0,11,92,0,0,9,405,15,23,12,19,7
cmgmyr--laravel-messenger,948,219,1,1,1,0,14,168,0,0,25,943,473,50,28,39,11
cobub--razor,722,362,1,1,1,0,16,35444,0,0,952,184874,48611,1596,1338,1625,287
COCOPi--cockpit,1986,234,1,1,1,0,93,5760,0,0,405,45358,10310,546,438,556,118
cocur--slugify,897,115,1,1,1,0,11,428,0,0,63,3529,876,99,65,93,28
Codeception--AspectMock,507,65,1,1,1,0,28,304,0,0,50,2564,701,41,53,66,13
Codeception--Codeception,2443,902,1,1,1,0,236,6132,0,0,749,63107,27677,1071,813,995,182
codeguy--Slim-Extras,505,164,1,1,1,0,29,156,0,0,21,620,1061,22,25,32,7
CodepadME--laravel-tricks,861,264,1,1,0,0,35,2816,0,0,280,24664,5389,372,331,419,88
CoderKungfu--php-queue,541,65,1,1,1,0,7,468,28,0,71,4802,746,70,78,98,20
CodeSleeve--asset-pipeline,520,50,1,1,1,0,54,480,0,0,44,1467,707,150,55,91,36
CodeSleeve--laravel-stapler,448,84,1,1,1,0,19,128,0,0,18,620,496,25,23,32,9
