key,star,fork,hasdownload,hasissue,haswiki,haspage,openissue,size,testfile,docfile,srcfile,loc,comment,filedepth,filect,dirbranching,dirct
DevGroup-ru--dotplant2,458,194,1,1,0,0,68,23316,0,0,1333,271632,27869,2109,1423,1832,409
devinsays--options-framework-plugin,785,306,1,1,1,0,22,416,0,0,22,2044,690,19,56,65,9
devinsays--options-framework-theme,685,218,1,1,1,0,30,184,0,0,16,1771,587,16,22,28,6
DevinVinson--WordPress-Plugin-Boilerplate,3979,1027,1,1,1,1,48,172,0,0,18,224,592,38,24,35,11
devster--ubench,390,54,1,1,1,0,1,36,0,0,4,210,82,4,5,7,2
dimsav--laravel-translatable,898,161,1,1,1,0,19,424,0,0,34,2026,492,25,36,45,9
dingo--api,4764,714,1,1,1,0,109,548,0,0,76,4035,4222,105,77,106,29
dmolsen--Detector,873,91,1,1,1,0,19,2280,0,0,176,12539,2912,609,268,362,94
dmstr--yii2-adminlte-asset,437,193,1,1,0,0,1,204,0,0,21,1779,134,49,22,36,14
docker--labs,1127,204,1,1,1,0,1,121328,0,0,1294,328096,122363,1730,2060,2307,247
docker-php--docker-php,406,108,1,1,0,1,28,1612,0,0,280,24564,7552,43,284,299,15
doctrine--dbal,824,690,1,1,0,0,323,1984,0,0,233,22222,18201,222,235,276,41
doctrine--doctrine2,3282,1608,1,1,1,0,1159,4116,0,0,385,31604,28451,263,450,500,50
doctrine--migrations,396,222,1,1,1,0,21,392,0,0,53,2818,1966,85,54,69,15
doctrine--mongodb-odm,650,377,1,1,1,0,119,4256,0,0,573,39407,14869,483,631,712,81
dodgepudding--wechat-php-sdk,3024,2082,1,1,1,0,119,716,11,0,43,11585,4198,19,43,51,8
Dolibarr--dolibarr,584,522,1,1,0,1,508,4,0,0,,,,0,0,0,0
domnikl--DesignPatternsPHP,11004,2338,1,1,1,0,2,7856,0,0,186,3558,1030,2437,670,1140,470
dompdf--dompdf,3015,722,1,1,1,0,482,10592,0,0,89,21267,10729,54,133,151,18
doubleleft--hook,702,77,1,1,0,1,24,1268,0,0,156,6810,3403,212,177,241,64
dreamfactorysoftware--dreamfactory,492,115,1,1,0,0,31,3888,0,0,169,16489,3333,252,213,279,66
drewm--mailchimp-api,836,258,1,1,1,0,8,48,0,0,5,453,198,2,6,7,1
drewsymo--Foundation,787,218,1,1,1,0,22,656,0,0,28,9303,2146,13,31,37,6
drupal-composer--drupal-project,445,178,1,1,1,0,43,4,0,0,,,,0,0,0,0
drupal--drupal,2404,1208,1,0,0,0,0,4,0,0,,,,0,0,0,0
drush-ops--drush,1488,748,1,1,1,0,447,3448,0,0,311,28727,23680,272,370,434,64
dustin10--VichUploaderBundle,645,236,1,1,0,0,82,544,0,0,93,2454,1181,93,93,129,36
dwightwatson--validating,635,61,1,1,1,0,7,72,0,0,9,582,473,5,10,12,2
easychen--LazyPHP,519,227,1,1,1,0,9,1280,8,0,88,11554,10003,157,95,134,39
easychen--TeamToy,601,260,1,1,1,0,23,2384,0,0,144,18724,3600,255,228,286,58
easydigitaldownloads--easy-digital-downloads,536,337,1,1,1,0,312,10484,0,0,238,53260,21396,144,457,497,40
edusoho--edusoho,398,244,1,1,1,0,6,129412,0,16,9701,1314659,354114,18976,12331,14890,2559
edvinaskrucas--notification,500,66,1,1,1,0,8,188,0,0,21,2105,821,30,23,32,9
elastic--elasticsearch-php,1336,335,1,1,1,0,44,1736,0,0,221,11326,6597,272,257,315,58
elcodi--elcodi,442,89,1,1,0,1,36,10948,0,0,1330,48525,43462,4830,1749,2486,737
electerious--Lychee,3091,383,1,1,0,0,96,1224,0,0,90,7995,1401,57,106,127,21
elementary--website,511,315,1,1,0,0,71,86356,0,0,1420,103276,1356,1742,2257,2698,441
Elgg--Elgg,936,536,1,1,0,0,844,26404,0,0,2455,135442,48432,5050,2850,3787,937
elliotcondon--acf,1243,313,1,1,1,0,300,3632,0,0,67,17658,7578,37,149,162,13
emoncms--emoncms,405,279,1,1,1,0,39,5016,0,0,229,43227,6109,713,344,493,149
emuravjev--mdash,456,53,1,1,1,0,25,908,0,0,36,6327,1490,19,39,48,9
endroid--QrCode,624,135,1,1,1,0,5,6944,0,0,11,1129,456,19,287,294,7
envms--fluentpdo,483,122,1,1,1,1,18,352,0,0,15,1060,558,4,78,80,2
erikdubbelboer--phpRedisAdmin,1283,369,1,1,0,0,3,344,0,0,29,1748,151,8,51,55,4
ErikvdVen--php-gif,851,48,1,1,1,0,0,924,0,0,6,506,152,18,12,18,6
erusev--parsedown,3659,536,1,1,1,0,128,500,110,0,109,1987,133,5,113,115,2
esotalk--esoTalk,1407,267,1,1,0,0,68,2616,0,0,168,28737,12640,158,194,234,40
essence--essence,549,55,1,1,1,1,13,368,0,0,59,3199,1692,77,60,80,20
ethicalhack3r--DVWA,947,325,1,1,1,0,33,6804,0,0,415,52700,10146,605,549,646,97
etrepat--baum,1208,227,1,1,1,1,99,168,0,0,19,1266,1308,36,20,29,9
etsy--411,545,39,1,1,0,0,20,4780,0,0,394,20971,4088,253,469,525,56
etsy--feature,647,46,1,1,1,0,4,180,0,0,17,1702,534,19,18,24,6
etsy--morgue,476,78,1,1,1,0,23,2752,0,0,127,16662,2466,224,173,236,63
etsy--phan,1501,112,1,1,1,1,74,4224,0,0,471,33433,10551,219,751,805,54
everzet--jade.php,460,118,1,1,1,1,19,260,0,0,27,2238,989,68,31,48,17
Exeu--apai-io,421,119,1,1,1,0,3,396,0,0,57,2065,1489,85,65,89,24
eyecatchup--SEOstats,1006,288,1,1,1,1,35,252,0,0,24,2808,1110,22,25,32,7
ezyang--htmlpurifier,829,129,1,1,1,0,15,2816,0,0,287,20551,11920,167,433,475,42
facebookarchive--facebook-php-sdk,3506,3250,1,0,0,0,1,412,0,0,9,2935,831,6,10,13,3
facebookarchive--wordpress,416,203,1,0,0,0,19,1236,0,0,59,8973,6471,54,84,102,18
facebook--php-graph-sdk,1373,731,1,1,1,0,30,532,0,0,68,4544,5226,46,71,83,12
facebook--php-webdriver,1346,421,1,1,1,1,20,620,0,0,110,4320,3963,64,111,130,19
farinspace--wpalchemy,419,124,1,1,1,0,41,172,0,0,17,1765,835,17,19,24,5
feelinglucky--php-readability,430,123,1,1,1,0,6,92,0,0,15,678,213,9,16,20,4
fennb--phirehose,649,167,1,1,1,0,20,140,0,0,17,817,801,4,18,20,2
fex-team--fis-plus,502,159,1,1,1,1,46,1340,150,0,139,16294,8388,45,147,159,12
fex-team--fis,2713,734,1,1,1,0,351,2112,211,0,173,27502,11043,170,190,231,41
fightbulc--moment.php,387,73,1,1,1,0,8,304,0,0,46,4001,867,17,46,52,6
filp--whoops,3574,352,1,1,1,1,6,280,0,0,37,2450,1265,36,37,46,9
Flar49--passionate-programmer-translation,439,79,1,1,1,0,22,796,0,0,53,6648,88,2,53,54,1
florianv--swap,636,35,1,1,1,1,0,48,0,0,7,288,222,5,9,11,2
forkcms--forkcms,935,241,1,1,0,0,39,38208,0,0,2305,275289,53362,5424,3492,4298,806
formers--former,1028,179,1,1,1,1,48,600,0,0,80,8161,3616,57,80,97,17
franzliedke--studio,460,28,1,1,1,0,8,264,0,0,38,1063,112,91,40,64,24
frapi--frapi,656,191,1,1,1,0,59,33784,0,0,2967,442788,217174,4593,3095,3709,614
FreshRSS--FreshRSS,446,91,1,1,0,0,132,4968,0,3,254,46710,11416,354,450,540,90
FriendsOfPHP--Goutte,4592,626,0,1,0,0,69,68,0,0,5,553,49,8,9,12,3
FriendsOfPHP--PHP-CS-Fixer,3718,561,1,1,0,0,120,1680,0,3,250,17849,9674,142,252,292,40
FriendsOfPHP--pickle,884,36,1,1,1,0,23,932,0,0,107,5619,3227,323,130,201,71
FriendsOfPHP--Sami,1317,179,1,1,0,0,32,1052,0,0,91,5973,748,93,100,124,24
FriendsOfPHP--security-advisories,605,80,1,1,0,0,8,1832,0,0,313,4002,6,381,314,455,141
FriendsOfPHP--Sismo,641,85,1,1,1,0,7,532,0,0,55,4152,1382,52,66,81,15
FriendsOfPHP--uprofiler,378,45,1,1,1,0,3,500,0,0,22,6613,2390,27,39,49,10
FriendsOfSymfony--FOSElasticaBundle,657,471,1,1,0,0,151,1220,0,0,183,10554,3078,174,188,248,60
FriendsOfSymfony--FOSJsRoutingBundle,766,166,1,1,0,0,26,328,0,0,36,2032,546,73,42,68,26
FriendsOfSymfony--FOSOAuthServerBundle,579,234,1,1,0,0,126,864,0,0,147,4664,1793,155,150,201,51
FriendsOfSymfony--FOSRestBundle,1418,565,1,1,1,0,79,1896,0,0,273,12563,5930,303,298,381,83
Froxlor--Froxlor,630,231,1,0,0,0,17,7172,0,0,362,75110,13829,555,688,819,131
FrozenNode--Laravel-Administrator,1841,556,1,1,1,0,141,17492,0,0,2479,39277,9081,1964,2783,3109,326
Frug--AJAX-Chat,380,236,1,1,1,1,55,3760,0,0,140,19939,2096,58,208,225,17
fruux--Baikal,1329,202,1,1,1,0,41,1940,0,0,140,17100,3435,396,156,232,76
fruux--sabre-dav,690,194,1,1,0,0,43,3948,0,0,505,41444,19423,452,518,617,99
fuel--core,744,314,1,1,1,0,21,4,0,0,,,,0,0,0,0
fuel--fuel,1412,277,1,0,1,0,0,4,0,0,,,,0,0,0,0
fuzzdb-project--fuzzdb,804,215,0,1,1,0,14,16244,0,0,93,13167,2072,275,365,448,83
