"","cate","accuracy"
"1",2,82.7759487090626
"2",3,71.3741119390054
"3",4,61.3931727603535
"4",5,54.4099809391787
"5",6,47.3228210015595
"6",7,42.3843354704557
"7",8,38.0003465603881
"8",9,34.7946629700225
"9",10,31.7795875931381
