key,star,fork,hasdownload,hasissue,haswiki,haspage,openissue,size,testfile,docfile,srcfile,loc,comment,filedepth,filect,dirbranching,dirct
Azure--azure-blockchain-projects,274,95,1,1,1,0,3,12748,0,0,121,3832,509,147,311,358,47
Azure--azure-quickstart-templates,1515,2170,1,1,1,0,252,117860,4,0,2630,270488,6398,1547,3124,3786,662
b4b4r07--enhancd,475,31,1,1,1,0,1,152,8,6,20,1050,94,27,30,39,9
babun--babun,6167,370,1,1,1,0,293,4636,0,0,72,2768,247,150,129,168,39
barryclark--bashstrap,1392,104,1,1,1,0,2,304,0,0,2,208,49,0,3,3,0
bartman--git-wip,204,38,1,1,1,0,16,52,0,0,5,389,48,9,6,10,4
basecamp--sub,1303,104,1,1,0,0,23,76,0,0,10,420,9,11,13,18,5
basecamp--xip-pdns,335,50,1,0,0,1,3,28,0,0,2,142,12,4,4,6,2
basherpm--basher,208,13,1,1,1,0,4,308,0,0,33,914,70,59,63,82,19
Bash-it--bash-it,5209,1136,1,1,1,0,98,1576,11,0,225,17628,2135,199,232,301,69
basho--riak,2642,419,1,1,1,0,136,728,0,14,12,2899,387,25,59,69,10
beautifulcode--ssh-copy-id-for-OSX,829,115,1,1,1,0,3,16,0,0,3,76,6,0,3,3,0
begriffs--haskell-vim-now,724,90,1,1,1,0,14,96,0,0,6,819,18,4,11,13,2
begriffs--heroku-buildpack-ghc,274,59,1,1,1,0,7,64,0,0,4,453,14,6,7,10,3
belluzj--fantasque-sans,2798,78,1,1,1,0,16,3048,0,0,6,349,9,6,20,23,3
bhilburn--powerlevel9k,934,126,1,1,1,0,14,196,10,0,20,1369,185,14,23,29,6
biezhi--java-bible,814,252,1,1,1,0,1,548,0,0,51,6150,21,55,63,86,23
bigeagle--gohop,551,86,1,1,1,0,12,396,0,0,22,9513,413,6,23,26,3
bilgi-webteam--kommit,186,5,1,1,1,0,1,28,0,0,2,292,2,2,3,4,1
billw2--rpi-clone,316,56,1,1,1,0,27,24,0,0,2,434,75,0,2,2,0
bitpay--bitcore,1855,518,1,1,1,0,16,112,2,0,11,542,7,9,20,24,4
bjango--Bjango-Templates,409,15,1,1,1,0,1,132096,0,0,9,445,2,27,94,106,12
BlackArch--blackarch,648,191,1,1,0,0,42,24260,0,0,115,30453,2917,6193,2553,4618,2065
BlueDragonX--xf86-input-mtrack,242,58,1,1,1,0,29,1772,0,0,39,41202,4654,12,50,56,6
bmaeser--iptables-boilerplate,189,40,1,1,0,1,3,96,0,0,11,376,141,7,16,19,3
bmizerany--roundup,306,50,1,1,1,1,12,72,0,0,8,548,234,0,14,14,0
bobthecow--git-flow-completion,1650,245,1,1,1,0,7,40,0,0,2,426,67,0,6,6,0
bohoomil--fontconfig-ultimate,403,41,1,1,0,0,65,3056,0,34,8,791,694,56,495,513,18
boot2docker--boot2docker,6366,778,1,1,0,0,384,440,0,5,29,1040,127,82,49,66,17
boxcutter--centos,199,124,1,1,1,0,4,268,3,0,35,1419,58,12,53,59,6
boxcutter--ubuntu,301,153,1,1,1,0,5,312,4,0,37,1667,60,23,56,66,10
bpkg--bpkg,758,29,1,1,1,0,20,432,0,0,67,2449,205,49,99,114,15
bradp--vv,867,93,1,1,0,0,25,128,0,0,6,2494,107,0,6,6,0
brendangregg--perf-tools,2723,346,1,1,1,0,20,904,0,0,21,2864,1337,29,79,93,14
brikis98--docker-osx-dev,1211,99,1,1,1,0,53,1636,18,0,13,1316,418,9,21,25,4
bripkens--dock,212,38,1,1,1,0,4,188,0,0,43,703,24,2,45,46,1
brock--node-reinstall,243,31,1,1,1,0,3,4532,0,0,4,273,20,2,5,6,1
brooklyncentral--clocker,406,64,1,1,1,1,54,432,0,0,19,1134,2,75,42,65,23
brson--multirust,706,50,1,1,1,0,68,216,6,0,12,4021,447,13,15,20,5
caiogondim--maglev,196,21,1,1,1,0,5,652,0,0,2,263,13,4,6,8,2
calfzhou--autoproxy-gfwlist,324,71,1,0,0,0,3,148,0,0,8,317,97,0,10,10,0
cal--vagrant-ubuntu-precise-64,177,120,1,1,1,0,10,52,5,0,5,205,32,5,9,11,2
CaseyLabs--aws-ec2-ebs-automatic-snapshot-bash,195,123,1,1,1,0,6,36,0,0,2,137,37,0,3,3,0
cattleio--stampede,338,38,1,1,1,1,6,312,0,0,24,1205,22,28,44,55,11
centos-bz--ezhttp,193,92,1,1,1,0,2,1744,0,0,29,10779,1364,12,73,78,5
CentOS--CentOS-Dockerfiles,715,450,1,1,1,0,31,2704,0,0,155,3406,397,433,326,453,127
CenturyLinkLabs--golang-builder,307,42,1,1,1,0,12,76,0,0,5,189,25,6,11,14,3
ceph--ceph-docker,359,167,1,1,1,0,41,3652,0,0,98,7115,878,559,272,379,107
cfenollosa--bashblog,525,77,1,1,1,1,5,64,0,0,2,955,246,0,2,2,0
chadoe--docker-cleanup-volumes,1051,139,1,1,1,0,6,24,0,0,2,161,12,0,4,4,0
chef--bento,2064,553,1,1,0,1,25,1664,0,0,183,25717,263,110,203,242,39
CHH--heroku-buildpack-php,273,171,1,1,1,1,40,304,0,0,52,2111,52,20,57,65,8
CHH--phpenv,489,41,1,1,1,0,24,48,0,0,5,216,29,6,8,11,3
chovy--node-startup,646,141,1,1,1,0,7,24,0,0,2,193,14,2,3,4,1
chriseldredge--git-slack-hook,226,40,1,1,1,0,19,20,0,0,2,270,45,0,2,2,0
chriskempson--base16-gnome-terminal,277,58,1,1,1,0,11,292,0,0,72,6236,704,0,72,72,0
chriskempson--base16-shell,566,86,1,1,1,0,33,440,0,0,75,7270,776,9,78,82,4
chrismytton--shoreman,204,24,1,1,0,1,10,92,16,0,5,318,164,5,18,20,2
chubin--wttr.in,2479,138,1,1,1,0,42,96,0,0,5,696,93,10,10,14,4
cikelengfeng--RPAXU,243,59,1,1,1,0,0,12,0,0,2,19,3,0,2,2,0
CISOfy--lynis,1190,216,1,1,1,0,23,1628,0,0,66,18198,6400,23,108,117,9
cknadler--vim-anywhere,460,26,1,1,1,0,13,336,0,0,5,234,100,11,12,17,5
clangcn--kcp-server,336,90,1,1,1,0,4,265044,0,0,10,959,50,16,97,105,8
cloudbuilders--devstack,163,74,1,0,0,1,4,1180,0,0,74,6044,1853,121,173,204,31
cloudfoundry--bosh-lite,267,220,1,1,0,0,25,860,0,0,76,2232,75,32,92,104,12
cloudfoundry--cf-release,502,519,1,1,0,0,18,3272,0,0,169,67241,361,214,316,386,70
cloudsec--brootkit,371,156,1,1,1,0,1,120,0,0,20,2065,63,0,22,22,0
ClusterLabs--resource-agents,306,324,1,1,1,0,82,3272,0,11,190,52742,11840,49,276,294,18
clvv--fasd,2690,107,1,1,1,0,75,76,0,0,5,1056,56,0,7,7,0
cmacrae--saveosx,211,7,1,1,1,0,0,20,0,0,2,219,24,0,3,3,0
cmoudy--mean-vagrant,176,66,1,1,1,0,2,84,0,0,7,125,34,20,11,18,7
CodeCatalyst--mou-theme-solarized,209,29,1,1,1,0,0,400,0,0,8,893,101,11,13,18,5
codelittinc--incubator-resources,294,30,1,1,1,0,7,764,0,0,32,1193,10,39,36,51,15
codigofuerte--GeoNames-MySQL-DataImport,187,85,1,1,1,1,14,36,0,0,5,340,19,0,6,6,0
Coding--WebIDE,444,59,1,1,1,1,20,48,0,0,4,385,7,6,7,10,3
colinbjohnson--aws-missing-tools,917,361,1,1,1,0,64,544,0,0,55,3484,530,114,64,103,39
colinkeenan--silentcast,328,14,1,1,1,0,12,9408,0,0,9,1180,26,2,38,39,1
colinmollenhour--modman,623,156,1,1,1,0,21,68,0,0,5,1172,148,0,5,5,0
comperiosearch--vagrant-elk-box,200,122,1,1,1,0,8,52,0,0,5,223,43,9,8,12,4
conceptsandtraining--modernie_selenium,170,28,1,1,1,0,1,168,0,0,16,1024,68,66,21,36,15
conda--conda-recipes,221,332,1,0,1,0,166,26868,0,0,2023,53855,25823,4047,4196,5612,1416
corbindavenport--nexus-tools,366,50,1,1,1,0,1,7336,0,0,3,260,40,2,11,12,1
coreos--coreos-overlay,167,154,1,0,0,0,37,8544,0,0,154,6217,1510,1483,1427,1840,413
coreos--coreos-xhyve,311,36,1,1,1,0,13,68,0,0,4,401,5,2,10,11,1
coreos--docs,700,429,1,1,0,0,90,7124,0,0,140,12032,27,37,210,225,15
coreos--toolbox,169,39,1,0,0,0,12,36,0,0,3,140,3,0,6,6,0
cortexmedia--Beluga,166,9,1,1,1,0,1,104,0,0,7,360,255,10,8,13,5
cosmin--git-hg,305,59,1,1,1,1,12,36,0,0,3,230,10,4,5,7,2
course-hero--slacktee,275,44,1,1,1,0,2,80,4,0,4,804,86,2,8,9,1
cr0ybot--ingress-logos,232,75,1,1,1,1,2,25540,0,0,2,102,0,34,253,269,16
crashsystems--gitlab-docker,203,61,1,1,1,0,6,88,0,0,5,177,151,19,12,19,7
crazy-max--csgo-server-launcher,167,57,1,1,0,0,6,36,0,0,2,342,63,0,4,4,0
creationix--nvm,15562,1500,1,1,1,0,139,1148,230,0,192,6666,313,83,219,241,22
crosbymichael--Dockerfiles,271,55,1,1,1,0,0,160,0,0,3,46,13,36,21,39,18
crosstool-ng--crosstool-ng,335,150,1,1,1,0,64,9200,0,0,100,20675,2658,612,751,933,182
crowbar--crowbar,711,275,1,1,1,0,54,268,0,8,25,3258,578,10,36,41,5
cryptoparty--handbook,444,120,1,1,0,0,45,17388,0,0,73,3091,17,51,383,400,17
cstrap--monaco-font,498,100,1,1,1,0,0,24,0,0,5,98,3,0,5,5,0
cxreg--smartcd,322,31,1,1,1,0,29,308,0,0,7,964,42,29,40,51,11
CyberShadow--aconfmgr,165,6,1,1,1,0,5,92,0,0,6,1645,212,2,7,8,1
cyphunk--humanism.sh,168,7,1,1,1,0,2,200,3,0,9,1035,288,4,13,15,2
cytopia--ffscreencast,163,9,1,1,1,1,4,300,0,4,4,985,266,9,8,12,4
dabeaz--python-cookbook,881,512,1,1,1,0,8,5596,0,0,327,8008,892,795,365,564,199
dana-at-cp--backdoor-apk,238,100,1,1,1,0,1,34948,0,0,796,83582,36583,510,850,925,75
