key,star,fork,hasdownload,hasissue,haswiki,haspage,openissue,size,testfile,docfile,srcfile,loc,comment,filedepth,filect,dirbranching,dirct
iiordanov--remote-desktop-clients,973,280,1,1,1,1,48,38164,0,0,835,153019,40783,922,1100,1253,153
illumos--illumos-gate,376,394,1,0,0,0,0,699332,0,0,32745,9641454,3008643,54004,45439,53447,8008
ilyash--ngs,489,16,1,1,1,1,1,1968,0,10,54,22179,2383,49,157,171,14
ImageMagick--ImageMagick,540,126,1,1,1,0,38,58208,0,0,1015,595021,118581,291,2490,2568,78
imatix--gsl,411,60,1,1,0,0,30,8348,0,29,302,125740,31071,74,458,481,23
imazen--imageflow,485,14,1,1,1,0,39,2788,0,0,202,26878,3806,164,263,311,48
indutny--bud,414,30,1,1,1,0,13,1012,48,0,72,9960,511,34,121,135,14
infinity-gbc--infinity,362,36,1,1,1,0,4,4616,0,2,116,38947,8396,28,643,654,11
intel-iot-devkit--mraa,686,317,1,1,1,0,61,2536,0,0,294,26529,8650,141,322,371,49
iondbproject--iondb,433,21,1,1,1,0,0,1604,0,0,166,18198,7269,180,171,216,45
ionescu007--SimpleVisor,536,81,1,1,0,1,2,144,0,0,15,2001,878,4,18,20,2
i-rinat--freshplayerplugin,725,47,1,1,1,0,39,5392,0,5,510,82294,25342,130,534,569,35
irssi--irssi,1294,172,1,1,1,0,79,4268,0,0,367,59793,6878,93,540,567,27
irtimmer--moonlight-embedded,776,121,1,1,1,0,52,836,0,0,74,9711,2857,33,85,98,13
irungentoo--toxcore,8134,1007,1,1,0,0,96,2324,0,0,155,33710,11894,58,181,203,22
isislab--Hack-Night,463,139,1,1,1,1,2,128312,0,0,126,6987,749,456,331,449,118
isislovecruft--library,566,131,1,0,0,0,0,1697244,0,0,2,895,140,313,1000,1100,100
ivmai--bdwgc,708,150,1,1,1,0,35,3560,0,34,173,47895,10268,48,229,248,19
jabberd2--jabberd2,357,159,1,1,1,1,21,3636,0,0,256,50081,9274,201,323,384,61
jackhumbert--qmk_firmware,708,1066,1,1,1,0,85,40772,0,19,1690,135866,70826,3102,2052,2587,535
jagt--clumsy,922,118,1,1,1,1,13,35368,0,0,73,7514,849,82,357,381,24
jaketmp--ePub-quicklook,340,29,1,1,1,0,5,14260,0,0,34,5632,1448,45,67,83,16
jakogut--tinyvm,1066,111,1,1,1,0,0,268,0,0,42,1298,56,38,50,64,14
jbangert--trapcc,630,29,1,1,1,0,2,34476,0,0,20,105679,15750,16,68,74,6
jcloudpub--speedy,412,75,1,1,1,0,3,904,0,0,72,9058,906,71,80,106,26
jcupitt--libvips,904,89,1,1,1,1,45,17476,46,16,604,129792,49902,117,687,728,41
jech--polipo,885,182,1,1,0,0,34,1000,0,0,56,20123,2113,0,65,65,0
jedisct1--dnscrypt-proxy,1392,346,1,1,1,1,14,4428,26,0,241,57343,12977,169,300,344,44
jedisct1--libsodium,3342,451,1,1,0,0,10,6396,130,0,388,38713,2023,539,473,585,112
jeelabs--esp-link,639,165,1,1,0,0,40,1872,0,0,123,14583,2464,38,134,151,17
jemalloc--jemalloc,1623,377,1,1,1,0,44,2400,94,5,173,37065,5016,64,202,223,21
JFreegman--toxic,729,106,1,1,1,0,28,2664,0,5,87,13620,2493,22,106,115,9
jgamblin--Mirai-Source-Code,3169,1694,1,1,1,0,0,724,0,0,59,10231,303,33,79,91,12
jgarff--rpi_ws281x,361,136,1,1,1,0,19,220,0,0,28,2475,949,10,34,38,4
jgarzik--cpuminer,379,956,1,1,1,0,0,340,0,0,32,5718,593,7,41,44,3
jgm--peg-markdown,508,123,1,1,1,0,13,704,0,0,53,5715,365,10,102,106,4
jianfengye--nginx-1.0.14_comment,377,427,1,1,1,0,1,4872,0,0,257,87068,5911,106,348,380,32
jimon--osx_app_in_plain_c,731,34,1,1,1,0,2,40,0,0,4,453,135,0,4,4,0
jjgod--mac-dictionary-kit,436,67,0,0,0,0,0,1260,0,0,96,8055,2469,21,117,126,9
jklmnn--imagejs,529,39,1,1,1,0,0,104,0,0,14,453,98,0,16,16,0
jlamarche--iOS-OpenGLES-Stuff,637,157,1,1,1,0,8,13792,0,0,75,12581,856,141,178,221,43
JoeDog--siege,1274,119,1,1,1,0,56,1496,0,8,104,29760,4901,13,119,125,6
johnkerl--miller,875,29,1,1,1,0,5,15136,0,192,450,72445,8703,77,728,754,26
jonasdn--nsntrace,335,17,1,1,1,0,6,132,0,0,21,997,271,6,22,25,3
jonashaag--bjoern,823,68,1,1,1,0,7,208,0,0,35,1776,222,6,39,42,3
jonas--tig,3560,272,1,1,1,1,100,2544,137,6,204,27019,2485,71,236,262,26
JonDoNym--peinjector,386,72,1,1,1,0,0,14356,0,0,72,9589,3557,106,90,116,26
jonls--redshift,2152,170,1,1,1,0,159,2024,0,0,45,5309,1034,68,105,123,18
jordansissel--xdotool,391,73,1,1,1,0,95,684,0,0,83,7268,1239,9,93,97,4
jorisvink--kore,2150,184,1,1,1,0,1,1964,0,0,83,12995,1327,254,144,214,70
joyent--libuv,3399,755,1,1,1,0,65,3580,144,0,256,50355,9128,50,313,329,16
joyent--smartos-live,1111,179,1,1,1,0,286,35240,0,0,1100,375197,106960,2489,1682,2111,429
jp9000--obs-studio,4483,1071,1,0,1,0,42,23216,17,0,2172,243639,36800,1522,2659,2966,307
jp9000--OBS,2476,708,1,0,1,1,45,33024,0,0,603,575135,34422,304,1033,1126,93
jpmens--jo,1879,49,1,1,1,0,6,320,0,0,40,2390,458,9,58,62,4
jpountz--lz4-java,379,120,1,1,1,1,33,2936,0,0,89,12780,3625,196,130,170,40
jrudolph--perf-map-agent,382,60,1,1,1,0,14,104,0,0,12,516,98,10,13,17,4
jsdf--pce,374,58,1,1,1,0,7,5672,0,14,478,132537,15558,163,561,604,43
jserv--facebooc,362,63,1,1,1,0,8,236,0,0,39,3172,191,17,40,47,7
json-c--json-c,895,473,1,1,1,1,17,780,0,0,88,7071,2162,9,128,132,4
juhovh--shairplay,400,104,1,1,1,0,17,1256,0,0,117,12970,3040,89,142,166,24
