key,star,fork,hasdownload,hasissue,haswiki,haspage,openissue,size,testfile,docfile,srcfile,loc,comment,filedepth,filect,dirbranching,dirct
swanandp--acts_as_list,1054,250,1,1,1,1,17,236,13,0,25,2127,141,18,33,39,6
swanson--stringer,2554,285,1,1,0,0,17,10104,0,0,215,19632,4107,225,265,328,63
swipely--docker-api,707,215,1,1,1,0,37,344,0,0,35,4505,270,30,44,54,10
tcocca--acts_as_follower,682,138,1,1,1,0,36,256,38,0,38,918,106,48,46,59,13
teambox--teambox,1915,446,1,0,1,0,15,17288,9,0,1081,89133,12315,1221,2498,2744,246
teampoltergeist--poltergeist,2232,407,1,1,0,0,17,992,0,0,88,8417,147,49,96,110,14
technicalpickles--homesick,1796,110,1,1,0,0,22,136,0,0,10,1381,39,13,17,22,5
technicalpickles--jeweler,1475,163,1,1,1,1,15,916,79,0,103,4866,209,179,160,203,43
technoweenie--attachment_fu,1035,308,1,1,1,0,36,352,28,0,39,2660,655,57,47,63,16
technoweenie--restful-authentication,1630,287,1,1,1,0,28,632,0,0,48,2850,495,75,65,84,19
tenex--rails-assets,1595,61,1,1,0,0,34,2080,0,0,242,14124,2832,309,311,396,85
testdouble--suture,696,18,1,1,1,0,7,1344,39,0,127,5170,305,245,147,205,58
test-kitchen--test-kitchen,1107,436,1,1,1,0,182,1692,9,0,157,22351,6311,115,177,211,34
thbar--kiba,724,34,1,1,0,1,11,148,17,0,22,694,23,18,27,34,7
theforeman--foreman,1108,561,0,0,0,0,86,4,0,0,,,,0,0,0,0
thekompanee--fuubar,661,65,1,1,1,0,1,152,0,0,9,653,9,16,27,34,7
thestorefront--FastAPI,575,28,1,1,1,0,3,240,0,0,35,2248,82,22,39,47,8
the-teacher--the_role,752,80,1,1,1,0,3,48,0,0,5,165,0,5,7,9,2
thiagopradi--octopus,1852,316,1,1,1,1,60,1144,0,0,118,11391,765,194,151,205,54
Thibaut--devdocs,10678,701,1,1,1,0,19,6556,42,0,628,32214,1655,1522,1059,1374,315
thirtysixthspan--descriptive_statistics,581,47,1,1,1,0,2,252,3,0,35,1239,1,24,41,50,9
thoughtbot--administrate,2841,380,1,1,0,0,231,1856,0,0,315,7272,806,520,356,473,117
thoughtbot--appraisal,701,59,1,1,0,0,7,268,0,0,49,2498,39,22,54,62,8
thoughtbot--bourbon,7689,864,1,1,0,1,12,720,0,0,145,3054,1302,79,150,174,24
thoughtbot--capybara-webkit,1796,435,1,1,1,0,81,1112,3,0,209,10012,122,34,221,234,13
thoughtbot--clearance,2511,323,1,1,1,0,24,952,0,0,124,4884,736,306,144,216,72
thoughtbot--cocaine,726,52,1,1,0,0,3,200,0,0,33,1171,13,31,37,46,9
thoughtbot--ember-cli-rails,633,157,1,1,1,1,30,484,0,0,58,2602,32,134,70,105,35
thoughtbot--factory_girl_rails,1693,213,1,1,0,0,25,164,0,0,15,369,10,33,28,39,11
