key,star,fork,hasdownload,hasissue,haswiki,haspage,openissue,size,testfile,docfile,srcfile,loc,comment,filedepth,filect,dirbranching,dirct
sunspot--sunspot,2645,846,1,1,1,1,202,46248,0,0,426,75468,27490,449,771,861,90
svgdotjs--svg.js,3788,529,1,1,1,0,19,1176,0,0,114,21147,2388,21,117,125,8
svg--svgo,5534,421,1,1,1,0,112,1240,161,0,67,8755,1731,33,221,234,13
swagger-api--swagger-ui,6409,3483,1,1,1,0,462,5764,25,0,136,34629,6159,115,182,213,31
sweet-js--sweet.js,3629,194,1,1,1,1,42,10464,89,128,278,92782,21569,107,338,373,35
Swiip--generator-gulp-angular,3823,748,1,1,1,0,158,2344,42,0,207,19430,544,174,292,325,33
syntaxhighlighter--syntaxhighlighter,4003,1147,1,1,1,0,182,364,0,0,39,1373,212,34,48,61,13
systemjs--systemjs,7319,492,1,1,1,0,61,2328,256,0,283,19476,3828,134,290,325,35
t4t5--sweetalert,14526,1922,1,1,1,1,272,1080,3,0,40,6611,744,30,50,62,12
TalAter--annyang,3548,529,1,1,1,0,14,624,9,0,28,3913,755,39,40,54,14
TalAter--UpUp,3823,178,1,1,1,0,22,14176,0,0,21,1319,208,28,60,70,10
tastejs--todomvc,18941,10816,1,1,1,1,132,60040,0,0,1864,582668,201730,4714,2335,3305,970
taye--interact.js,5684,369,1,1,0,0,50,828,6,0,99,7094,997,40,112,127,15
tbranyen--backbone-boilerplate,4689,556,1,1,1,0,4,216,7,0,29,1356,235,37,32,44,12
techfort--LokiJS,2756,242,1,1,1,0,99,5596,0,0,107,29255,4115,52,129,149,20
TelescopeJS--Telescope,4953,1880,1,1,0,0,22,4440,0,0,656,29068,2861,557,864,996,132
ternjs--tern,2923,275,1,1,1,0,94,2132,199,15,207,24685,613,132,220,252,32
tessalt--echo-chamber-js,3623,99,1,1,1,0,12,88,0,0,14,1264,0,4,14,16,2
testem--testem,2584,303,1,1,1,0,66,3920,0,0,352,41228,8698,405,454,562,108
tgriesser--bookshelf,3675,316,1,1,1,1,390,812,45,0,68,12204,3281,48,74,89,15
tgriesser--knex,3574,551,1,1,1,1,410,1440,68,0,128,20827,1221,195,150,199,49
thebird--Swipe,5909,1739,1,1,0,1,248,48,0,0,8,592,67,0,8,8,0
theintern--intern,3565,274,1,1,1,1,90,984,0,0,103,13198,4338,121,106,137,31
thejameskyle--itsy-bitsy-data-structures,4995,306,1,1,1,0,8,100,0,0,3,383,1102,0,4,4,0
thejameskyle--spectacle-code-slide,3009,75,1,1,1,1,8,6680,0,0,11,379,4,2,13,14,1
thejameskyle--the-super-tiny-compiler,6056,387,1,1,1,0,5,68,0,0,3,305,644,0,4,4,0
thinkgem--jeesite,2994,3447,1,1,1,1,112,65032,0,11,2363,445933,82121,6874,3647,4438,791
tholman--elevator.js,4136,420,1,1,1,0,0,756,0,0,6,468,42,8,8,11,3
tholman--zenpen,3548,419,1,1,0,0,13,120,0,0,12,1122,89,10,17,21,4
thx--RAP,3311,998,1,1,1,1,38,12568,0,0,313,128329,18783,2300,584,849,265
tildeio--rsvp.js,3136,227,1,1,1,1,12,320,6,0,42,4026,1163,17,45,52,7
timuric--Content-generator-sketch-plugin,3559,295,1,1,1,0,24,30740,0,0,71,5951,30,223,1789,1827,38
tinymce--tinymce,3712,1103,0,1,0,0,976,6336,0,0,593,88146,15731,1356,664,872,208
tj--commander.js,6587,565,1,1,1,1,176,312,46,0,45,1926,540,7,64,67,3
tj--co,6793,460,1,1,1,0,24,88,12,0,16,1019,105,2,17,18,1
tj--ejs,3099,437,1,1,1,0,90,256,34,0,26,1401,417,20,47,54,7
tj--frontend-boilerplate,2896,312,1,1,1,0,18,152,0,0,23,935,12,47,23,37,14
tmpvar--jsdom,6609,688,1,1,1,0,158,8196,506,0,661,110514,30360,613,721,838,117
toddmotto--echo,2987,396,1,1,1,0,36,64,4,0,9,441,7,9,10,14,4
tommoor--tinycon,4665,285,1,1,1,1,9,96,0,0,9,400,39,2,12,13,1
trentm--node-bunyan,3485,309,1,1,1,1,158,880,46,0,56,7280,1169,22,81,90,9
trueadm--inferno,4293,127,1,1,1,1,35,3752,0,0,216,29905,1394,252,261,337,76
TryGhost--Ghost,21049,5082,1,1,1,1,189,4868,0,0,529,58681,6624,708,555,688,133
twbs--bootstrap,103049,46493,1,1,0,1,369,12444,0,0,293,66229,5457,212,370,429,59
tweenjs--tween.js,3466,576,1,1,1,1,28,616,8,0,29,2891,52,28,55,66,11
twitter--hogan.js,4617,383,1,1,1,1,52,1364,18,0,87,22122,2964,67,97,119,22
twitter--labella.js,3376,96,1,1,0,1,4,788,0,0,52,6972,1113,22,56,65,9
twitter--twemoji,5658,678,1,1,0,1,9,8,0,0,,,,0,1,1,0
twitter--typeahead.js,13456,2694,1,1,0,1,375,772,32,5,65,12999,426,35,66,79,13
typekit--webfontloader,5020,460,1,1,0,0,28,8280,0,0,100,9339,2686,61,113,133,20
typicode--hotel,4450,132,1,1,1,0,22,1092,10,0,38,2623,153,85,47,70,23
typicode--json-server,17054,1144,1,1,0,0,100,268,18,0,35,2694,102,54,39,54,15
typicode--lowdb,3673,143,1,1,1,1,14,124,11,0,21,1101,264,9,22,26,4
umdjs--umd,4141,239,1,1,1,0,13,64,0,0,12,237,154,2,13,14,1
unconed--TermKit,4489,264,1,1,1,0,39,17624,0,0,496,76955,11175,451,634,718,84
Unitech--pm2,15549,1229,1,1,1,0,445,4396,442,0,480,26896,4178,499,574,679,105
uxsolutions--bootstrap-datepicker,8928,3708,1,1,0,1,527,2076,0,0,225,14012,1314,58,257,277,20
vakata--jstree,2954,908,1,1,1,0,1,3332,21,0,77,42667,7162,162,122,156,34
vega--vega,4414,461,1,1,1,1,110,21192,57,0,135,79505,6,14,149,155,6
VerbalExpressions--JSVerbalExpressions,9804,449,1,1,1,0,18,1372,6,0,20,6070,918,46,42,53,11
verekia--js-stack-from-scratch,7097,402,1,1,1,0,12,3632,0,0,70,1986,25,324,141,211,70
videojs--video.js,14064,4079,0,1,1,1,227,2148,62,0,253,22317,11843,139,271,309,38
vigetlabs--gulp-starter,3934,686,1,1,1,1,32,1228,0,0,89,1775,79,205,138,188,50
viljamis--responsive-nav.js,3819,640,1,1,0,1,47,492,0,0,36,3864,996,65,50,71,21
viljamis--ResponsiveSlides.js,3119,1451,1,1,1,1,184,372,0,0,8,881,78,8,16,19,3
VincentGarreau--particles.js,7434,1023,1,1,1,0,83,128,0,0,11,1805,145,12,11,15,4
visionmedia--debug,3575,320,1,1,1,0,94,108,0,0,16,1022,390,4,17,19,2
visionmedia--move.js,3764,593,1,1,1,1,36,140,0,0,18,1949,808,2,18,19,1
visionmedia--page.js,4339,437,1,1,0,1,141,392,7,0,46,3027,735,72,53,75,22
visionmedia--superagent,8998,858,1,1,1,1,137,576,54,0,66,8849,1427,31,78,89,11
visionmedia--supertest,4248,320,1,1,1,0,101,92,6,0,7,1450,148,7,11,14,3
vitalets--x-editable,5248,1051,1,1,1,1,532,12328,228,0,170,159137,26078,501,333,442,109
vladikoff--chromeos-apk,5901,623,1,1,1,0,142,132,0,0,11,395,10,25,18,26,8
VodkaBears--Vide,3002,421,1,1,1,0,62,5456,10,0,17,1388,270,16,27,34,7
Voog--wysihtml,3078,284,1,1,1,1,158,2872,45,0,173,35234,5140,74,180,206,26
VPenkov--okayNav,3891,277,1,1,1,0,22,2540,0,0,18,1163,238,19,19,26,7
vuejs--vue-router,2826,728,1,1,0,1,59,2920,29,0,150,11888,1572,104,182,213,31
vuejs--vuex,3655,610,1,1,0,1,20,5892,9,0,157,9694,443,127,202,241,39
vuejs--vue,32370,3680,1,1,1,0,49,2584,131,0,286,43036,4386,305,291,371,80
vvo--gifify,3191,144,1,1,1,0,15,8344,0,0,6,307,26,4,13,15,2
wagerfield--parallax,10574,1669,1,1,1,1,72,944,0,0,18,10101,1969,15,26,32,6
webpack--webpack,20324,2138,1,1,1,0,687,8628,1381,0,1228,42184,2923,2072,1569,2001,432
webrtc--samples,2892,1324,1,1,1,1,39,4,0,0,,,,0,0,0,0
websockets--ws,4150,705,1,1,1,1,232,464,22,2,44,6696,761,34,54,66,12
wekan--wekan,7687,1063,1,1,1,0,266,1240,0,0,124,13546,862,84,167,194,27
wellcaffeinated--PhysicsJS,2843,377,1,1,1,1,51,5572,24,0,134,95283,14230,80,141,169,28
wenzhixin--bootstrap-table,4666,1703,1,1,1,0,375,6440,0,0,282,30215,1440,486,516,632,116
WickyNilliams--enquire.js,2976,256,1,1,0,1,34,240,0,0,24,3211,961,24,26,35,9
WickyNilliams--headroom.js,8605,700,1,1,1,1,23,104,0,0,13,1081,144,10,15,19,4
wilsonpage--fastdom,3558,151,1,1,1,1,7,136,6,0,17,1692,582,8,17,21,4
winstonjs--winston,6327,685,1,1,0,0,201,472,44,0,62,5802,1120,40,67,80,13
witheve--Eve,4654,166,1,1,1,0,41,2144,6,0,71,32178,3767,48,95,112,17
woocommerce--FlexSlider,4525,1653,1,1,1,0,240,5000,0,0,137,28186,5787,359,256,329,73
wulkano--kap,2629,86,1,1,0,0,32,968,0,0,42,2641,161,49,63,76,13
wycats--handlebars.js,11054,1486,1,1,0,0,57,956,0,0,111,10747,1143,59,124,145,21
xing--wysihtml5,6582,1087,1,1,1,1,304,2144,34,0,113,30675,6734,59,117,139,22
yabwe--medium-editor,9365,1129,1,1,1,1,179,2276,0,0,124,26031,3568,71,130,152,22
yahoo--gifshot,2647,199,1,1,1,1,34,3980,0,0,42,18294,832,45,56,71,15
yahoo--react-intl,3453,234,1,1,1,0,40,700,26,0,92,5056,225,168,108,149,41
yarnpkg--yarn,18216,585,1,1,0,0,388,65620,0,0,415,17905,1596,16025,2635,4870,2235
yaronn--blessed-contrib,8308,325,1,1,1,0,24,3484,0,0,57,3377,186,28,76,86,10
yelouafi--redux-saga,4820,317,1,1,1,1,31,1240,34,0,158,13211,525,203,169,222,53
yeoman--generator-angular,5564,1569,1,1,0,0,90,636,13,0,89,3312,390,96,111,143,32
yeoman--generator-webapp,2784,585,1,1,0,1,32,716,9,0,38,2646,106,12,49,54,5
YePpHa--YouTubeCenter,2657,478,1,1,1,0,1125,62408,0,0,350,168647,8373,335,516,580,64
yhat--rodeo,3105,305,1,1,1,0,122,15928,29,0,568,60225,5652,607,667,783,116
yoshuawuyts--choo,2779,117,1,1,1,0,41,364,0,0,54,2653,45,76,55,78,23
you-dont-need--You-Dont-Need-Lodash-Underscore,3732,127,1,1,1,0,7,72,0,0,6,844,16,14,6,11,5
yuche--vue-strap,2665,483,1,1,1,1,182,2852,0,0,25,16568,6421,24,87,96,9
yui--yui3,3464,1166,1,1,1,0,397,78964,0,0,5191,564043,194482,6902,6066,7659,1593
yyx990803--vue-resource,2885,474,1,1,1,0,92,376,12,0,50,4810,499,30,52,63,11
zachfitz--Ionic-Material,2761,879,1,1,1,0,121,20520,0,0,276,185745,128676,505,396,485,89
zeit--hyper,9778,628,1,1,0,0,308,1128,2,0,77,5903,433,37,84,98,14
zeit--next.js,5002,146,1,1,1,0,64,464,13,0,67,2814,98,108,74,107,33
zeman--perfmap,3769,137,1,1,1,1,14,188,0,0,4,238,12,0,8,8,0
zenorocha--clipboard.js,14495,976,1,1,1,1,4,140,3,0,20,1378,258,8,20,24,4
zeroclipboard--zeroclipboard,5934,1050,1,1,1,0,89,1080,21,0,45,11986,3444,44,56,71,15
Zhouzi--TheaterJS,2800,161,1,1,1,1,4,256,10,0,27,2538,88,9,29,33,4
zhukov--webogram,3478,1134,1,1,1,1,144,18496,0,0,957,212069,46097,143,1070,1108,38
zurb--foundation-sites,24359,5320,1,1,1,1,412,6452,107,0,336,59619,17439,206,392,449,57
