key,star,fork,hasdownload,hasissue,haswiki,haspage,openissue,size,testfile,docfile,srcfile,loc,comment,filedepth,filect,dirbranching,dirct
fabtools--fabtools,1044,204,1,1,1,0,114,928,0,0,110,5881,3463,24,184,192,8
facebookarchive--huxley,3938,296,1,1,1,0,43,204,0,0,19,741,135,13,27,32,5
facebookarchive--python-instagram,1543,747,1,0,1,0,99,648,0,0,39,11045,27,8,53,57,4
facebookarchive--redis-faina,1081,125,1,0,1,0,3,24,0,0,3,277,14,0,4,4,0
facebook--augmented-traffic-control,3226,459,1,1,1,1,13,2132,0,0,121,31817,10250,222,162,214,52
facebook--chisel,5345,452,1,1,1,0,23,176,0,0,21,2326,263,2,23,24,1
facebook--codemod,1138,105,1,1,1,0,9,80,0,0,6,683,311,2,7,8,1
facebook--PathPicker,3065,186,1,1,1,1,3,1200,0,0,36,3432,612,64,110,127,17
facelessuser--BracketHighlighter,1405,225,1,1,1,1,0,988,0,0,56,5915,786,21,136,145,9
faif--python-patterns,9673,2312,1,1,1,0,6,352,0,0,51,2452,778,0,54,54,0
fail2ban--fail2ban,1753,402,1,1,0,0,230,2644,0,50,94,11850,4688,155,443,478,35
falconry--falcon,3331,386,1,1,1,0,148,1588,0,0,112,8844,5452,106,167,196,29
Fantomas42--django-blog-zinnia,1294,562,0,1,0,0,10,4360,0,0,255,20440,3458,518,388,504,116
fastmonkeys--stellar,3343,95,1,1,0,0,15,92,0,0,12,896,22,4,15,17,2
fchollet--deep-learning-models,1069,129,1,1,1,0,8,84,0,0,9,1177,76,0,10,10,0
fchollet--keras,9310,2934,1,1,1,0,1617,1900,0,0,161,29166,2263,83,169,195,26
fengsp--plan,931,66,1,1,1,0,1,736,0,0,30,1706,622,44,57,71,14
feross--SpoofMAC,1802,174,1,1,1,0,0,72,0,0,7,585,216,6,9,12,3
fivesheep--chnroutes,2109,468,1,1,1,0,49,60,0,0,8,405,76,8,9,12,3
flask-admin--flask-admin,1949,657,1,1,1,0,167,6992,0,49,266,38689,5874,844,499,695,196
flask-restful--flask-restful,2317,469,1,1,1,0,59,596,0,0,43,4675,907,43,65,79,14
Flolagale--mailin,1569,105,1,1,1,0,46,496,6,0,32,5000,2491,17,38,45,7
fogleman--Minecraft,3106,714,1,1,1,0,25,52,0,0,2,509,304,0,4,4,0
formspree--formspree,933,96,1,0,1,0,7,3064,0,0,101,11068,1193,108,390,419,29
